fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
7.7;0.965;0.1;2.1;0.112;11.0;22.0;0.9963;3.26;0.5;9.5
9.4;0.5;0.34;3.6;0.08199999999999999;5.0;14.0;0.9987;3.29;0.52;10.7
6.8;0.48;0.25;2.0;0.076;29.0;61.0;0.9953;3.34;0.6;10.4
6.6;0.7;0.08;2.6;0.106;14.0;27.0;0.99665;3.44;0.58;10.2
8.8;0.27;0.46;2.1;0.095;20.0;29.0;0.99488;3.26;0.56;11.3
9.5;0.37;0.52;2.0;0.08199999999999999;6.0;26.0;0.998;3.18;0.51;9.5
12.2;0.45;0.49;1.4;0.075;3.0;6.0;0.9969;3.13;0.63;10.4
10.6;0.48;0.64;2.2;0.111;6.0;20.0;0.997;3.26;0.66;11.7
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.25;0.63;9.2
8.9;0.75;0.14;2.5;0.086;9.0;30.0;0.99824;3.34;0.64;10.5
6.9;0.57;0.0;2.8;0.081;21.0;41.0;0.99518;3.41;0.52;10.8
6.5;0.58;0.0;2.2;0.096;3.0;13.0;0.99557;3.62;0.62;11.5
8.0;0.28;0.44;1.8;0.081;28.0;68.0;0.99501;3.36;0.66;11.2
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7
6.2;0.46;0.29;2.1;0.07400000000000001;32.0;98.0;0.99578;3.33;0.62;9.8
7.9;0.53;0.24;2.0;0.07200000000000001;15.0;105.0;0.996;3.27;0.54;9.4
10.4;0.33;0.63;2.8;0.084;5.0;22.0;0.9998;3.26;0.74;11.2
8.8;0.44;0.49;2.8;0.083;18.0;111.0;0.9982;3.3;0.6;9.5
7.2;0.6;0.04;2.5;0.076;18.0;88.0;0.99745;3.53;0.55;9.5
7.8;0.735;0.08;2.4;0.092;10.0;41.0;0.9974;3.24;0.71;9.8
10.0;0.56;0.24;2.2;0.079;19.0;58.0;0.9991;3.18;0.56;10.1
8.2;0.635;0.1;2.1;0.073;25.0;60.0;0.99638;3.29;0.75;10.9
7.5;0.705;0.24;1.8;0.36;15.0;63.0;0.9964;3.0;1.59;9.5
7.5;0.27;0.34;2.3;0.05;4.0;8.0;0.9951;3.4;0.64;11.0
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4
6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.99689;3.59;0.66;9.8
6.8;0.915;0.29;4.8;0.07;15.0;39.0;0.99577;3.53;0.54;11.1
12.3;0.39;0.63;2.3;0.091;6.0;18.0;1.0004;3.16;0.49;9.5
7.0;0.42;0.19;2.3;0.071;18.0;36.0;0.99476;3.39;0.56;10.9
10.6;0.36;0.6;2.2;0.152;7.0;18.0;0.9986;3.04;1.06;9.4
9.5;0.39;0.41;8.9;0.069;18.0;39.0;0.99859;3.29;0.81;10.9
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5
8.5;0.655;0.49;6.1;0.122;34.0;151.0;1.001;3.31;1.14;9.3
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9972;3.58;0.61;10.5
6.0;0.5;0.0;1.4;0.057;15.0;26.0;0.99448;3.36;0.45;9.5
6.6;0.84;0.03;2.3;0.059;32.0;48.0;0.9952;3.52;0.56;12.3
9.1;0.25;0.34;2.0;0.071;45.0;67.0;0.99769;3.44;0.86;10.2
9.1;0.795;0.0;2.6;0.096;11.0;26.0;0.9994;3.35;0.83;9.4
9.1;0.785;0.0;2.6;0.093;11.0;28.0;0.9994;3.36;0.86;9.4
7.5;0.65;0.18;7.0;0.08800000000000001;27.0;94.0;0.99915;3.38;0.77;9.4
8.1;0.66;0.7;2.2;0.098;25.0;129.0;0.9972;3.08;0.53;9.0
7.6;0.31;0.34;2.5;0.08199999999999999;26.0;35.0;0.99356;3.22;0.59;12.5
9.2;0.56;0.18;1.6;0.078;10.0;21.0;0.99576;3.15;0.49;9.9
7.6;0.79;0.21;2.3;0.087;21.0;68.0;0.9955;3.12;0.44;9.2
8.7;0.765;0.22;2.3;0.064;9.0;42.0;0.9963;3.1;0.55;9.4
9.9;0.35;0.38;1.5;0.058;31.0;47.0;0.99676;3.26;0.82;10.6
8.3;0.26;0.37;1.4;0.076;8.0;23.0;0.9974;3.26;0.7;9.6
7.3;0.98;0.05;2.1;0.061;20.0;49.0;0.99705;3.31;0.55;9.7
8.7;0.54;0.26;2.5;0.097;7.0;31.0;0.9976;3.27;0.6;9.3
6.0;0.42;0.19;2.0;0.075;22.0;47.0;0.99522;3.39;0.78;10.0
8.4;0.52;0.22;2.7;0.084;4.0;18.0;0.99682;3.26;0.57;9.9
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.48;0.5;9.3
9.4;0.685;0.11;2.7;0.077;6.0;31.0;0.9984;3.19;0.7;10.1
9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4
7.4;0.635;0.1;2.4;0.08;16.0;33.0;0.99736;3.58;0.69;10.8
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7
8.2;0.64;0.27;2.0;0.095;5.0;77.0;0.99747;3.13;0.62;9.1
8.8;0.45;0.43;1.4;0.076;12.0;21.0;0.99551;3.21;0.75;10.2
7.7;0.39;0.12;1.7;0.097;19.0;27.0;0.99596;3.16;0.49;9.4
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.15;0.89;9.9
15.5;0.645;0.49;4.2;0.095;10.0;23.0;1.00315;2.92;0.74;11.1
9.5;0.55;0.66;2.3;0.387;12.0;37.0;0.9982;3.17;0.67;9.6
6.8;0.69;0.0;5.6;0.124;21.0;58.0;0.9997;3.46;0.72;10.2
7.8;0.34;0.37;2.0;0.08199999999999999;24.0;58.0;0.9964;3.34;0.59;9.4
8.4;0.36;0.32;2.2;0.081;32.0;79.0;0.9964;3.3;0.72;11.0
8.0;0.62;0.35;2.8;0.086;28.0;52.0;0.997;3.31;0.62;10.8
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6
8.3;0.65;0.1;2.9;0.08900000000000001;17.0;40.0;0.99803;3.29;0.55;9.5
8.2;0.38;0.32;2.5;0.08;24.0;71.0;0.99624;3.27;0.85;11.0
9.9;0.5;0.5;13.8;0.205;48.0;82.0;1.00242;3.16;0.75;8.8
7.2;0.635;0.07;2.6;0.077;16.0;86.0;0.99748;3.51;0.54;9.7
10.2;0.54;0.37;15.4;0.214;55.0;95.0;1.00369;3.18;0.77;9.0
8.1;0.78;0.1;3.3;0.09;4.0;13.0;0.99855;3.36;0.49;9.5
7.4;0.49;0.27;2.1;0.071;14.0;25.0;0.99388;3.35;0.63;12.0
7.2;0.39;0.32;1.8;0.065;34.0;60.0;0.99714;3.46;0.78;9.9
8.2;0.74;0.09;2.0;0.067;5.0;10.0;0.99418;3.28;0.57;11.8
8.9;0.875;0.13;3.45;0.08800000000000001;4.0;14.0;0.9994;3.44;0.52;11.5
9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5
6.8;0.815;0.0;1.2;0.267;16.0;29.0;0.99471;3.32;0.51;9.8
7.5;0.61;0.2;1.7;0.076;36.0;60.0;0.99494;3.1;0.4;9.3
7.2;0.34;0.24;2.0;0.071;30.0;52.0;0.99576;3.44;0.58;10.1
8.4;0.635;0.36;2.0;0.08900000000000001;15.0;55.0;0.99745;3.31;0.57;10.4
8.6;0.37;0.65;6.4;0.08;3.0;8.0;0.99817;3.27;0.58;11.0
6.8;0.56;0.22;1.8;0.07400000000000001;15.0;24.0;0.99438;3.4;0.82;11.2
6.3;0.76;0.0;2.9;0.07200000000000001;26.0;52.0;0.99379;3.51;0.6;11.5
6.6;0.64;0.31;6.1;0.083;7.0;49.0;0.99718;3.35;0.68;10.3
11.9;0.39;0.69;2.8;0.095;17.0;35.0;0.9994;3.1;0.61;10.8
8.7;0.42;0.45;2.4;0.07200000000000001;32.0;59.0;0.99617;3.33;0.77;12.0
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.44;0.53;9.5
9.1;0.36;0.39;1.8;0.06;21.0;55.0;0.99495;3.18;0.82;11.0
10.2;0.49;0.63;2.9;0.07200000000000001;10.0;26.0;0.9968;3.16;0.78;12.5
9.0;0.58;0.25;2.8;0.075;9.0;104.0;0.99779;3.23;0.57;9.7
11.5;0.42;0.48;2.6;0.077;8.0;20.0;0.99852;3.09;0.53;11.0
6.1;0.53;0.08;1.9;0.077;24.0;45.0;0.99528;3.6;0.68;10.3
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1
8.0;0.18;0.37;0.9;0.049;36.0;109.0;0.99007;2.89;0.44;12.7
6.5;0.9;0.0;1.6;0.052000000000000005;9.0;17.0;0.99467;3.5;0.63;10.9
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.15;0.89;9.9
6.4;0.36;0.21;2.2;0.047;26.0;48.0;0.99661;3.47;0.77;9.7
7.7;0.57;0.21;1.5;0.069;4.0;9.0;0.99458;3.16;0.54;9.8
8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4
7.5;0.57;0.08;2.6;0.08900000000000001;14.0;27.0;0.99592;3.3;0.59;10.4
5.6;0.66;0.0;2.2;0.087;3.0;11.0;0.99378;3.71;0.63;12.8
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1
11.3;0.34;0.45;2.0;0.08199999999999999;6.0;15.0;0.9988;2.94;0.66;9.2
7.7;0.69;0.05;2.7;0.075;15.0;27.0;0.9974;3.26;0.61;9.1
6.9;0.635;0.17;2.4;0.241;6.0;18.0;0.9961;3.4;0.59;10.3
7.6;0.685;0.23;2.3;0.111;20.0;84.0;0.9964;3.21;0.61;9.3
5.3;0.47;0.11;2.2;0.048;16.0;89.0;0.99182;3.54;0.88;13.566666666666698
11.5;0.41;0.52;3.0;0.08;29.0;55.0;1.0001;3.26;0.88;11.0
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0
11.3;0.34;0.45;2.0;0.08199999999999999;6.0;15.0;0.9988;2.94;0.66;9.2
6.7;0.48;0.08;2.1;0.064;18.0;34.0;0.99552;3.33;0.64;9.7
8.2;0.885;0.2;1.4;0.086;7.0;31.0;0.9946;3.11;0.46;10.0
7.1;0.84;0.02;4.4;0.096;5.0;13.0;0.997;3.41;0.57;11.0
11.3;0.37;0.41;2.3;0.08800000000000001;6.0;16.0;0.9988;3.09;0.8;9.3
10.1;0.65;0.37;5.1;0.11;11.0;65.0;1.0026;3.32;0.64;10.4
6.9;0.39;0.24;2.1;0.102;4.0;7.0;0.99462;3.44;0.58;11.4
8.1;0.67;0.55;1.8;0.117;32.0;141.0;0.9968;3.17;0.62;9.4
10.8;0.29;0.42;1.6;0.084;19.0;27.0;0.99545;3.28;0.73;11.9
8.4;0.62;0.12;1.8;0.07200000000000001;38.0;46.0;0.99504;3.38;0.89;11.8
6.4;0.42;0.09;2.3;0.054000000000000006;34.0;64.0;0.99724;3.41;0.68;10.4
7.6;0.715;0.0;2.1;0.068;30.0;35.0;0.99533;3.48;0.65;11.4
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5
8.1;0.87;0.0;2.2;0.084;10.0;31.0;0.99656;3.25;0.5;9.8
6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9948;3.51;0.43;11.4
7.9;0.545;0.06;4.0;0.087;27.0;61.0;0.9965;3.36;0.67;10.7
8.2;0.915;0.27;2.1;0.08800000000000001;7.0;23.0;0.9962;3.26;0.47;10.0
6.9;0.74;0.03;2.3;0.054000000000000006;7.0;16.0;0.99508;3.45;0.63;11.5
12.3;0.5;0.49;2.2;0.08900000000000001;5.0;14.0;1.0002;3.19;0.44;9.6
9.0;0.785;0.24;1.7;0.078;10.0;21.0;0.99692;3.29;0.67;10.0
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4
7.1;0.755;0.15;1.8;0.107;20.0;84.0;0.99593;3.19;0.5;9.5
8.5;0.585;0.18;2.1;0.078;5.0;30.0;0.9967;3.2;0.48;9.8
7.1;0.735;0.16;1.9;0.1;15.0;77.0;0.9966;3.27;0.64;9.3
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1
7.8;0.82;0.29;4.3;0.083;21.0;64.0;0.99642;3.16;0.53;9.4
8.8;0.955;0.05;1.8;0.075;5.0;19.0;0.99616;3.3;0.44;9.6
8.9;0.35;0.4;3.6;0.11;12.0;24.0;0.99549;3.23;0.7;12.0
11.5;0.45;0.5;3.0;0.078;19.0;47.0;1.0003;3.26;1.11;11.0
9.3;0.37;0.44;1.6;0.038;21.0;42.0;0.99526;3.24;0.81;10.8
10.5;0.24;0.42;1.8;0.077;6.0;22.0;0.9976;3.21;1.05;10.8
11.9;0.58;0.58;1.9;0.071;5.0;18.0;0.998;3.09;0.63;10.0
6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.19;0.62;9.5
7.3;0.52;0.32;2.1;0.07;51.0;70.0;0.99418;3.34;0.82;12.9
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.3;0.43;10.1
9.2;0.43;0.52;2.3;0.083;14.0;23.0;0.9976;3.35;0.61;11.3
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;3.54;0.52;10.0
10.4;0.44;0.42;1.5;0.145;34.0;48.0;0.99832;3.38;0.86;9.9
8.7;0.52;0.09;2.5;0.091;20.0;49.0;0.9976;3.34;0.86;10.6
6.8;0.59;0.1;1.7;0.063;34.0;53.0;0.9958;3.41;0.67;9.7
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.37;0.58;9.0
11.2;0.67;0.55;2.3;0.084;6.0;13.0;1.0;3.17;0.71;9.5
10.3;0.53;0.48;2.5;0.063;6.0;25.0;0.9998;3.12;0.59;9.3
11.6;0.32;0.55;2.8;0.081;35.0;67.0;1.0002;3.32;0.92;10.8
10.1;0.31;0.35;1.6;0.075;9.0;28.0;0.99672;3.24;0.83;11.2
6.3;0.6;0.1;1.6;0.048;12.0;26.0;0.99306;3.55;0.51;12.1
6.9;0.49;0.1;2.3;0.07400000000000001;12.0;30.0;0.9959;3.42;0.58;10.2
7.7;0.54;0.26;1.9;0.08900000000000001;23.0;147.0;0.99636;3.26;0.59;9.7
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;3.69;0.91;9.4
11.7;0.28;0.47;1.7;0.054000000000000006;17.0;32.0;0.99686;3.15;0.67;10.6
7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7
6.5;0.615;0.0;1.9;0.065;9.0;18.0;0.9972;3.46;0.65;9.2
6.1;0.58;0.23;2.5;0.044;16.0;70.0;0.99352;3.46;0.65;12.5
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5
6.1;0.38;0.15;1.8;0.07200000000000001;6.0;19.0;0.9955;3.42;0.57;9.4
15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2
